citation,year,decision_label,n_issues,merits_grants,procedural_reopen_grants,denied,remanded,dismissed
24000001,2024,no_merits_grant,4,0,0,0,4,0
24000002,2024,no_merits_grant,2,0,0,1,1,0
24000003,2024,merits_grant,5,3,0,0,2,0
24000004,2024,no_merits_grant,2,0,0,1,1,0
24000005,2024,merits_grant,1,1,0,0,0,0
24000006,2024,no_merits_grant,1,0,0,0,1,0
24000007,2024,no_merits_grant,2,0,0,0,2,0
24000008,2024,fully_affirmed,1,0,0,1,0,0
24000009,2024,fully_affirmed,1,0,0,1,0,0
24000010,2024,merits_grant,3,3,0,0,0,0
24000011,2024,no_merits_grant,1,0,0,0,0,1
24000012,2024,merits_grant,1,1,0,0,0,0
24000013,2024,no_merits_grant,5,0,0,4,1,0
24000014,2024,merits_grant,5,1,0,0,4,0
24000015,2024,merits_grant,10,3,0,2,2,3
24000016,2024,no_merits_grant,3,0,0,0,3,0
24000017,2024,merits_grant,2,1,0,0,1,0
24000018,2024,merits_grant,8,3,5,0,0,0
24000019,2024,no_merits_grant,1,0,0,0,1,0
24000020,2024,no_merits_grant,6,0,0,0,6,0
24000021,2024,no_merits_grant,2,0,0,0,2,0
24000022,2024,merits_grant,9,4,0,5,0,0
24000023,2024,no_merits_grant,4,0,0,0,4,0
24000024,2024,no_merits_grant,5,0,0,0,5,0
24000025,2024,merits_grant,1,1,0,0,0,0
24000026,2024,merits_grant,6,1,0,2,3,0
24000027,2024,fully_affirmed,1,0,0,1,0,0
24000028,2024,fully_affirmed,1,0,0,1,0,0
24000029,2024,merits_grant,14,2,0,0,12,0
24000030,2024,fully_affirmed,1,0,0,1,0,0
24000031,2024,merits_grant,9,2,0,3,4,0
24000032,2024,merits_grant,1,1,0,0,0,0
24000033,2024,merits_grant,5,2,0,1,1,1
24000034,2024,no_merits_grant,1,0,0,0,1,0
24000035,2024,merits_grant,3,2,0,1,0,0
24000036,2024,fully_affirmed,1,0,0,1,0,0
24000037,2024,merits_grant,2,2,0,0,0,0
24000038,2024,merits_grant,5,1,0,0,4,0
24000039,2024,merits_grant,2,1,0,1,0,0
24000040,2024,fully_affirmed,1,0,0,1,0,0
24000041,2024,no_merits_grant,1,0,0,0,1,0
24000042,2024,no_merits_grant,3,0,0,0,3,0
24000043,2024,no_merits_grant,1,0,0,0,1,0
24000044,2024,merits_grant,17,5,0,2,9,1
24000045,2024,no_merits_grant,2,0,0,0,2,0
24000046,2024,no_merits_grant,2,0,0,0,2,0
24000047,2024,fully_affirmed,1,0,0,1,0,0
24000048,2024,no_disposition_parsed,0,0,0,0,0,0
24000049,2024,fully_affirmed,1,0,0,1,0,0
24000050,2024,no_merits_grant,3,0,0,0,3,0
24000051,2024,no_merits_grant,1,0,0,0,1,0
24000052,2024,no_merits_grant,4,0,0,2,2,0
24000053,2024,no_merits_grant,1,0,0,0,0,1
24000054,2024,merits_grant,2,1,0,0,1,0
24000055,2024,merits_grant,9,3,0,0,4,2
24000056,2024,no_merits_grant,4,0,0,0,1,3
24000057,2024,no_merits_grant,1,0,0,0,1,0
24000058,2024,merits_grant,7,3,0,1,3,0
24000059,2024,merits_grant,1,1,0,0,0,0
24000060,2024,no_merits_grant,1,0,0,0,1,0
24000061,2024,merits_grant,1,1,0,0,0,0
24000062,2024,no_merits_grant,2,0,0,0,2,0
24000063,2024,fully_affirmed,2,0,0,2,0,0
24000064,2024,fully_affirmed,1,0,0,1,0,0
24000065,2024,fully_affirmed,2,0,0,2,0,0
24000066,2024,merits_grant,12,1,6,0,5,0
24000067,2024,fully_affirmed,3,0,0,3,0,0
24000068,2024,no_merits_grant,6,0,0,5,1,0
24000069,2024,no_merits_grant,1,0,0,0,0,1
24000070,2024,no_merits_grant,1,0,0,0,1,0
24000071,2024,no_merits_grant,2,0,0,0,2,0
24000072,2024,no_merits_grant,2,0,0,0,2,0
24000073,2024,no_merits_grant,1,0,0,0,1,0
24000074,2024,fully_affirmed,1,0,0,1,0,0
24000075,2024,no_merits_grant,4,0,0,3,1,0
24000076,2024,merits_grant,2,1,0,0,1,0
24000077,2024,merits_grant,3,1,0,2,0,0
24000078,2024,no_merits_grant,2,0,0,0,2,0
24000079,2024,merits_grant,2,2,0,0,0,0
24000080,2024,no_merits_grant,1,0,0,0,1,0
24000081,2024,no_merits_grant,1,0,0,0,1,0
24000082,2024,merits_grant,6,1,0,4,1,0
24000083,2024,no_merits_grant,1,0,0,0,1,0
24000084,2024,no_merits_grant,5,0,0,1,4,0
24000085,2024,merits_grant,5,2,0,0,0,3
24000086,2024,merits_grant,16,7,0,8,0,1
24000087,2024,no_merits_grant,1,0,0,0,1,0
24000088,2024,merits_grant,3,1,0,0,2,0
24000089,2024,fully_affirmed,2,0,0,2,0,0
24000090,2024,no_merits_grant,3,0,1,0,2,0
24000091,2024,merits_grant,1,1,0,0,0,0
24000092,2024,no_merits_grant,10,0,0,0,9,1
24000093,2024,merits_grant,1,1,0,0,0,0
24000094,2024,no_merits_grant,2,0,0,0,2,0
24000095,2024,merits_grant,2,2,0,0,0,0
24000096,2024,merits_grant,2,2,0,0,0,0
24000097,2024,merits_grant,9,2,0,1,6,0
24000098,2024,no_merits_grant,1,0,0,0,1,0
24000099,2024,fully_affirmed,3,0,0,3,0,0
24000100,2024,merits_grant,5,2,0,1,2,0
24000101,2024,merits_grant,7,4,0,3,0,0
24000102,2024,no_merits_grant,4,0,1,0,3,0
24000103,2024,no_merits_grant,3,0,0,0,3,0
24000104,2024,fully_affirmed,1,0,0,1,0,0
24000105,2024,merits_grant,1,1,0,0,0,0
24000106,2024,merits_grant,6,3,0,1,2,0
24000107,2024,no_merits_grant,1,0,0,0,1,0
24000108,2024,merits_grant,4,2,0,2,0,0
24000109,2024,no_merits_grant,3,0,0,0,3,0
24000110,2024,merits_grant,1,1,0,0,0,0
24000111,2024,merits_grant,3,1,0,1,1,0
24000112,2024,merits_grant,1,1,0,0,0,0
24000113,2024,merits_grant,6,1,0,3,1,1
24000114,2024,no_merits_grant,6,0,0,0,6,0
24000115,2024,no_merits_grant,1,0,0,0,0,1
24000116,2024,no_merits_grant,3,0,0,0,0,3
24000117,2024,no_merits_grant,2,0,0,0,2,0
24000118,2024,no_merits_grant,6,0,0,0,3,3
24000119,2024,merits_grant,6,1,0,1,4,0
24000120,2024,no_merits_grant,3,0,0,0,3,0
24000121,2024,merits_grant,3,1,0,2,0,0
24000122,2024,no_merits_grant,1,0,0,0,1,0
24000123,2024,fully_affirmed,1,0,0,1,0,0
24000125,2024,merits_grant,10,2,0,8,0,0
24000126,2024,no_merits_grant,3,0,0,1,2,0
24000127,2024,no_merits_grant,4,0,0,0,4,0
24000128,2024,fully_affirmed,8,0,0,8,0,0
24000129,2024,no_merits_grant,9,0,1,1,7,0
24000130,2024,no_merits_grant,10,0,0,5,5,0
24000131,2024,merits_grant,10,4,0,0,6,0
24000132,2024,merits_grant,9,2,0,1,6,0
24000133,2024,merits_grant,2,1,0,0,1,0
24000134,2024,fully_affirmed,1,0,0,1,0,0
24000135,2024,merits_grant,1,1,0,0,0,0
24000136,2024,fully_affirmed,3,0,0,3,0,0
24000137,2024,no_merits_grant,7,0,0,0,7,0
24000138,2024,fully_affirmed,2,0,0,2,0,0
24000139,2024,merits_grant,14,3,0,8,3,0
24000140,2024,no_merits_grant,1,0,0,0,1,0
24000141,2024,no_merits_grant,1,0,0,0,0,1
24000142,2024,merits_grant,1,1,0,0,0,0
24000143,2024,no_merits_grant,2,0,0,0,0,2
24000144,2024,no_merits_grant,4,0,0,3,1,0
24000145,2024,no_merits_grant,2,0,0,0,2,0
24000146,2024,no_merits_grant,2,0,0,0,2,0
24000147,2024,fully_affirmed,1,0,0,1,0,0
24000148,2024,merits_grant,4,1,0,2,1,0
24000149,2024,merits_grant,5,2,0,2,0,1
24000150,2024,no_merits_grant,15,0,0,0,15,0
24000151,2024,fully_affirmed,1,0,0,1,0,0
24000152,2024,fully_affirmed,2,0,0,2,0,0
24000153,2024,no_merits_grant,2,0,0,0,2,0
24000154,2024,merits_grant,5,1,0,4,0,0
24000155,2024,no_merits_grant,3,0,0,2,1,0
24000156,2024,merits_grant,2,1,0,0,1,0
24000157,2024,no_merits_grant,2,0,0,1,1,0
24000158,2024,no_merits_grant,2,0,0,1,0,1
24000159,2024,merits_grant,4,1,0,2,1,0
24000160,2024,merits_grant,2,2,0,0,0,0
24000161,2024,no_merits_grant,2,0,0,0,2,0
24000162,2024,no_merits_grant,1,0,0,0,0,1
24000163,2024,merits_grant,4,4,0,0,0,0
24000164,2024,merits_grant,2,1,0,1,0,0
24000165,2024,merits_grant,4,4,0,0,0,0
24000166,2024,fully_affirmed,2,0,0,2,0,0
24000167,2024,no_merits_grant,6,0,0,0,6,0
24000168,2024,no_merits_grant,1,0,0,0,1,0
24000169,2024,no_merits_grant,1,0,0,0,1,0
24000170,2024,merits_grant,11,4,1,4,2,0
24000171,2024,no_merits_grant,4,0,0,1,3,0
24000172,2024,fully_affirmed,1,0,0,1,0,0
24000173,2024,no_disposition_parsed,0,0,0,0,0,0
24000174,2024,fully_affirmed,1,0,0,1,0,0
24000175,2024,merits_grant,1,1,0,0,0,0
24000176,2024,merits_grant,10,1,0,3,6,0
24000177,2024,fully_affirmed,1,0,0,1,0,0
24000178,2024,no_merits_grant,3,0,0,0,3,0
24000179,2024,no_merits_grant,1,0,0,0,1,0
24000180,2024,merits_grant,7,1,0,3,2,1
24000181,2024,no_merits_grant,5,0,0,3,2,0
24000182,2024,no_merits_grant,1,0,0,0,0,1
24000183,2024,no_merits_grant,1,0,0,0,1,0
24000184,2024,no_merits_grant,3,0,0,0,3,0
24000185,2024,no_merits_grant,3,0,0,1,2,0
24000186,2024,no_merits_grant,10,0,0,5,4,1
24000187,2024,fully_affirmed,1,0,0,1,0,0
24000188,2024,no_merits_grant,1,0,0,0,1,0
24000189,2024,no_merits_grant,3,0,0,1,2,0
24000190,2024,merits_grant,6,1,0,4,1,0
24000191,2024,merits_grant,2,1,0,0,1,0
24000192,2024,merits_grant,2,1,0,1,0,0
24000193,2024,fully_affirmed,2,0,0,2,0,0
24000194,2024,merits_grant,2,1,0,1,0,0
24000195,2024,fully_affirmed,1,0,0,1,0,0
24000196,2024,fully_affirmed,2,0,0,2,0,0
24000197,2024,merits_grant,4,1,0,0,2,1
24000198,2024,fully_affirmed,1,0,0,1,0,0
24000199,2024,no_merits_grant,3,0,0,2,1,0
24000200,2024,no_merits_grant,3,0,0,0,0,3
24000201,2024,merits_grant,1,1,0,0,0,0
24000202,2024,fully_affirmed,1,0,0,1,0,0
24000203,2024,merits_grant,3,2,0,1,0,0
24000204,2024,fully_affirmed,1,0,0,1,0,0
24000205,2024,no_merits_grant,2,0,0,0,2,0
24000206,2024,merits_grant,2,1,0,1,0,0
24000207,2024,no_merits_grant,1,0,0,0,1,0
24000208,2024,merits_grant,12,3,0,7,2,0
24000209,2024,no_merits_grant,2,0,0,0,2,0
24000210,2024,no_merits_grant,7,0,0,0,7,0
24000211,2024,merits_grant,3,2,0,0,1,0
24000212,2024,merits_grant,6,4,0,2,0,0
24000213,2024,merits_grant,16,1,0,0,8,7
24000214,2024,merits_grant,2,1,0,1,0,0
24000215,2024,no_merits_grant,14,0,0,3,11,0
24000216,2024,merits_grant,5,1,0,0,4,0
24000217,2024,fully_affirmed,2,0,0,2,0,0
24000218,2024,fully_affirmed,1,0,0,1,0,0
24000219,2024,no_merits_grant,2,0,0,0,2,0
24000220,2024,merits_grant,1,1,0,0,0,0
24000221,2024,merits_grant,6,1,0,0,4,1
24000222,2024,merits_grant,6,2,0,0,4,0
24000223,2024,no_merits_grant,1,0,0,0,1,0
24000224,2024,no_merits_grant,3,0,0,2,1,0
24000225,2024,no_merits_grant,1,0,0,0,1,0
24000226,2024,fully_affirmed,1,0,0,1,0,0
24000227,2024,merits_grant,8,4,0,4,0,0
24000228,2024,no_merits_grant,3,0,0,0,3,0
24000229,2024,no_merits_grant,6,0,0,0,6,0
